Voltage,Added Mass,C_d,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
155,60,5.95,0,2,1,54,70,44,10,52,44.97480453,39.08709098
155,80,5.95,0,2,1,56,72,44,10,48,44.48547807,39.40855556
155,100,5.95,0,2,1,56,72,44,12,48,43.95481392,39.11151721
155,200,5.95,0,2,1,66,76,46,10,44,42.03441405,38.59764196
155,400,5.95,0,2,1,80,82,46,14,46,39.08296199,37.48789838
155,800,5.95,0,2,1,108,102,52,16,52,34.09900619,33.31798353
155,1000,5.95,0,2,1,120,114,56,18,54,31.91016229,31.28530098
165,0,5.95,0,2,1,44,66,40,10,54,50.78434136,41.49353429
165,20,5.95,0,2,1,46,66,40,10,50,49.77106687,42.46285231
165,40,5.95,0,2,1,48,64,40,10,50,48.99579189,42.55582469
165,60,5.95,0,2,1,50,66,40,8,48,48.38454728,43.14590915
165,80,5.95,0,2,1,52,68,42,8,44,47.8384981,41.71437814
165,100,5.95,0,2,1,52,68,42,10,44,47.26323595,41.4739467
165,200,5.95,0,2,1,60,70,42,10,42,45.229196,41.78214737
165,400,5.95,0,2,1,74,78,44,12,40,42.2328675,40.26632679
165,800,5.95,0,2,1,100,94,50,14,46,37.07859917,36.00933678
165,1000,5.95,0,2,1,112,102,52,16,50,34.82288959,34.06070263
200,0,5.95,0,2,1,36,54,32,6,42,63.37851451,52.63954996
200,20,5.95,0,2,1,36,52,32,8,42,61.85016895,52.47178654
200,40,5.95,0,2,1,38,52,32,8,38,61.19890891,53.87207273
200,60,5.95,0,2,1,40,54,34,6,36,60.42390465,51.53970379
200,80,5.95,0,2,1,40,54,32,8,36,59.73435898,53.44092046
200,100,5.95,0,2,1,42,52,32,8,36,59.35918834,53.745387
200,200,5.95,0,2,1,48,56,34,8,32,56.67349449,51.96764473
200,400,5.95,0,2,1,60,60,36,8,32,53.15635146,50.13322459
200,800,5.95,0,2,1,78,72,38,12,36,47.17442635,45.95375462
200,1000,5.95,0,2,1,86,78,40,14,38,44.65433204,43.79188375
300,0,5.95,0,2,1,22,34,20,4,28,99.79598903,83.68193562
300,20,5.95,0,2,1,22,34,20,6,26,98.64162003,83.30126563
300,40,5.95,0,2,1,24,34,22,4,24,97.84843309,78.93689666
300,60,5.95,0,2,1,24,32,22,6,24,96.81040502,79.45006511
300,80,5.95,0,2,1,26,34,22,4,22,95.88129398,80.63754014
300,100,5.95,0,2,1,26,34,20,4,24,94.53541094,83.53467966
300,200,5.95,0,2,1,30,36,22,4,20,90.29947132,80.77610269
300,400,5.95,0,2,1,36,38,22,6,20,83.18536693,79.07558306
300,800,5.95,0,2,1,48,44,24,6,22,75.73240411,73.87639095
300,1000,5.95,0,2,1,54,48,24,6,22,72.23266988,71.44217702
500,0,5.95,0,2,1,12,22,12,4,20,159.1385002,126.9946538
500,20,5.95,0,2,1,14,22,14,2,18,156.356203,113.7573616
500,40,5.95,0,2,1,14,20,14,4,18,156.1678406,113.5600475
500,60,5.95,0,2,1,14,20,14,4,18,154.0951343,113.9506776
500,80,5.95,0,2,1,14,22,14,4,16,151.4629511,114.5487981
500,100,5.95,0,2,1,16,22,14,2,14,150.6331344,123.3049627
500,200,5.95,0,2,1,18,22,14,2,14,143.4286674,122.7555751
500,400,5.95,0,2,1,22,22,14,4,14,132.1814353,120.1996946
500,800,5.95,0,2,1,28,28,16,4,12,119.65863,115.2948671
500,1000,5.95,0,2,1,32,28,16,4,14,114.2067301,111.4801898
