Model Type,Test Type,Voltage,Turns,Added Mass,Drag Coefficient,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
actual,Submerged,165,actual,0,2.92762,-0.25,1,1.5,53,28,35,29.5,15,69.89968702,15.72948092
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,0.5,53,32,20.5,23,37.5,70.16286661,14.1570288
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,0.75,53,32,24,23,31,70.16286661,15.11658788
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1,53,32,27,23,25,70.16286661,15.63132149
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1.25,53,32,30.5,23,20,70.16286661,15.81055748
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1.5,53,32,34.5,23,15,70.16286661,15.75356279
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,0.5,53,36.5,21,17,37,70.25141615,14.24782456
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,0.75,53,36.5,23.5,17,31,70.25141615,15.11155374
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1,53,36.5,27,17,25,70.25141615,15.66373869
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1.25,53,36.5,31,17,19.5,70.25141615,15.79421119
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1.5,53,36.5,35,17,14.5,70.25141615,15.73954334
actual,Submerged,165,actual,0,2.92762,0,0.5,0.5,43,21.5,21.5,43,41,61.89178102,13.85002824
actual,Submerged,165,actual,0,2.92762,0,0.5,0.75,43,21.5,25,43,34,64.90692834,14.80766711
actual,Submerged,165,actual,0,2.92762,0,0.5,1,43,21.5,28,43,28,67.21711619,15.24518253
actual,Submerged,165,actual,0,2.92762,0,0.5,1.25,43,21.5,32,43,22,68.22976751,15.41830169
actual,Submerged,165,actual,0,2.92762,0,0.5,1.5,43,21.5,36.5,43,16,68.13701242,15.33303564
actual,Submerged,165,actual,0,2.92762,0,0.75,0.5,43,24.5,21,35.5,39,66.64900215,14.0239892
actual,Submerged,165,actual,0,2.92762,0,0.75,0.75,43,24.5,24,35.5,32.5,66.64900215,14.95883993
actual,Submerged,165,actual,0,2.92762,0,0.75,1,43,24.5,27.5,35.5,26,68.38285521,15.52215085
actual,Submerged,165,actual,0,2.92762,0,0.75,1.25,43,24.5,31.5,35.5,20.5,69.29701246,15.64342319
actual,Submerged,165,actual,0,2.92762,0,0.75,1.5,43,24.5,35.5,35.5,15.5,69.30274147,15.58472523
actual,Submerged,165,actual,0,2.92762,0,1,0.5,43,28,21,29,37.5,69.30606779,14.16463258
actual,Submerged,165,actual,0,2.92762,0,1,0.75,43,28,24,29,31,69.30606779,15.1254261
actual,Submerged,165,actual,0,2.92762,0,1,1,43,28,27,29,25.5,69.30606779,15.60310017
actual,Submerged,165,actual,0,2.92762,0,1,1.25,43,28,30.5,29,20,69.85111706,15.77296216
actual,Submerged,165,actual,0,2.92762,0,1,1.5,43,28,35,29,14.5,69.91356932,15.70745834
actual,Submerged,165,actual,0,2.92762,0,1.25,0.5,43,32,21,23,36.5,70.34821703,14.28564366
actual,Submerged,165,actual,0,2.92762,0,1.25,0.75,43,32,23.5,23,30.5,70.34821703,15.15422818
actual,Submerged,165,actual,0,2.92762,0,1.25,1,43,32,27,23,24.5,70.34821703,15.67171543
actual,Submerged,165,actual,0,2.92762,0,1.25,1.25,43,32,30.5,23,19.5,70.34821703,15.85159707
actual,Submerged,165,actual,0,2.92762,0,1.25,1.5,43,32,34.5,23,14.5,70.34821703,15.79590307
actual,Submerged,165,actual,0,2.92762,0,1.5,0.5,43,36,21,17,37,70.48313565,14.28247186
actual,Submerged,165,actual,0,2.92762,0,1.5,0.75,43,36,23.5,17,31,70.48313565,15.14579388
actual,Submerged,165,actual,0,2.92762,0,1.5,1,43,36,27,17,25,70.48313565,15.66400695
actual,Submerged,165,actual,0,2.92762,0,1.5,1.25,43,36,31,17,19.5,70.48313565,15.79365309
actual,Submerged,165,actual,0,2.92762,0,1.5,1.5,43,36,35,17,14.5,70.48313565,15.73610016
actual,Submerged,165,actual,0,2.92762,0.25,0.5,0.5,36,21.5,21.5,43.5,41.5,61.80881649,13.83562249
actual,Submerged,165,actual,0,2.92762,0.25,0.5,0.75,36,21.5,25,43.5,34.5,64.77254218,14.75985858
actual,Submerged,165,actual,0,2.92762,0.25,0.5,1,36,21.5,28.5,43.5,28,67.28780425,15.25964429
actual,Submerged,165,actual,0,2.92762,0.25,0.5,1.25,36,21.5,32.5,43.5,22,68.23487487,15.39417443
actual,Submerged,165,actual,0,2.92762,0.25,0.5,1.5,36,21.5,36.5,43.5,16.5,68.1289228,15.31700322
actual,Submerged,165,actual,0,2.92762,0.25,0.75,0.5,36,24.5,21,36.5,39,66.19355488,14.03540579
actual,Submerged,165,actual,0,2.92762,0.25,0.75,0.75,36,24.5,24,36.5,32.5,66.19355488,14.96757599
actual,Submerged,165,actual,0,2.92762,0.25,0.75,1,36,24.5,27.5,36.5,26.5,68.13055154,15.46499622
actual,Submerged,165,actual,0,2.92762,0.25,0.75,1.25,36,24.5,31.5,36.5,20.5,69.23196196,15.65275498
actual,Submerged,165,actual,0,2.92762,0.25,0.75,1.5,36,24.5,35.5,36.5,15.5,69.17162228,15.55324152
actual,Submerged,165,actual,0,2.92762,0.25,1,0.5,36,28,20.5,29.5,38,68.95767322,14.12014328
actual,Submerged,165,actual,0,2.92762,0.25,1,0.75,36,28,24,29.5,31.5,68.95767322,15.07338288
actual,Submerged,165,actual,0,2.92762,0.25,1,1,36,28,27.5,29.5,25.5,68.95767322,15.58387282
actual,Submerged,165,actual,0,2.92762,0.25,1,1.25,36,28,31,29.5,20,69.81207071,15.75072892
actual,Submerged,165,actual,0,2.92762,0.25,1,1.5,36,28,35,29.5,15,69.79966619,15.69169951
actual,Submerged,165,actual,0,2.92762,0.25,1.25,0.5,36,32,20.5,23,37.5,70.11427853,14.19400089
actual,Submerged,165,actual,0,2.92762,0.25,1.25,0.75,36,32,23.5,23,31,70.11427853,15.15602959
actual,Submerged,165,actual,0,2.92762,0.25,1.25,1,36,32,27,23,25,70.11427853,15.67204289
actual,Submerged,165,actual,0,2.92762,0.25,1.25,1.25,36,32,30.5,23,20,70.11427853,15.81227551
actual,Submerged,165,actual,0,2.92762,0.25,1.25,1.5,36,32,34.5,23,15,70.19933316,15.79750846
actual,Submerged,165,actual,0,2.92762,0.25,1.5,0.5,36,36.5,20.5,17,37.5,70.17358462,14.18991771
actual,Submerged,165,actual,0,2.92762,0.25,1.5,0.75,36,36.5,24,17,31,70.17358462,15.15234046
actual,Submerged,165,actual,0,2.92762,0.25,1.5,1,36,36.5,27,17,25,70.17358462,15.67050801
actual,Submerged,165,actual,0,2.92762,0.25,1.5,1.25,36,36.5,30.5,17,20,70.17358462,15.81250552
actual,Submerged,165,actual,0,2.92762,0.25,1.5,1.5,36,36.5,35,17,14.5,70.17358462,15.78465652
actual,Submerged,165,actual,0,2.92762,0.325,0.5,0.5,34,21.5,21.5,44.5,42,61.47247479,13.79892365
actual,Submerged,165,actual,0,2.92762,0.325,0.5,0.75,34,21.5,25,44.5,35,64.61858511,14.7169635
actual,Submerged,165,actual,0,2.92762,0.325,0.5,1,34,21.5,28.5,44.5,28.5,67.1297313,15.24881864
actual,Submerged,165,actual,0,2.92762,0.325,0.5,1.25,34,21.5,32,44.5,22.5,68.12706998,15.38429804
actual,Submerged,165,actual,0,2.92762,0.325,0.5,1.5,34,21.5,36.5,44.5,16.5,68.03371997,15.33424136
actual,Submerged,165,actual,0,2.92762,0.325,0.75,0.5,34,25,21,37,39,66.19878517,14.02407618
actual,Submerged,165,actual,0,2.92762,0.325,0.75,0.75,34,25,24.5,37,32,66.19878517,15.01976368
actual,Submerged,165,actual,0,2.92762,0.325,0.75,1,34,25,27.5,37,26,68.23648842,15.47952024
actual,Submerged,165,actual,0,2.92762,0.325,0.75,1.25,34,25,31.5,37,20.5,69.27426178,15.63960121
actual,Submerged,165,actual,0,2.92762,0.325,0.75,1.5,34,25,35.5,37,15,69.30760035,15.57133526
actual,Submerged,165,actual,0,2.92762,0.325,1,0.5,34,28.5,21,30,37.5,68.88234171,14.20705643
actual,Submerged,165,actual,0,2.92762,0.325,1,0.75,34,28.5,24,30,31,68.88234171,15.13289678
actual,Submerged,165,actual,0,2.92762,0.325,1,1,34,28.5,27,30,25.5,68.88234171,15.57181265
actual,Submerged,165,actual,0,2.92762,0.325,1,1.25,34,28.5,31,30,20,69.81110114,15.73808095
actual,Submerged,165,actual,0,2.92762,0.325,1,1.5,34,28.5,34.5,30,15,69.91015568,15.72164448
actual,Submerged,165,actual,0,2.92762,0.325,1.25,0.5,34,32.5,21,23.5,37,69.93909213,14.24953484
actual,Submerged,165,actual,0,2.92762,0.325,1.25,0.75,34,32.5,23.5,23.5,31,69.93909213,15.1132391
actual,Submerged,165,actual,0,2.92762,0.325,1.25,1,34,32.5,27,23.5,25,69.93909213,15.66453724
actual,Submerged,165,actual,0,2.92762,0.325,1.25,1.25,34,32.5,31,23.5,19.5,70.00755635,15.79469285
actual,Submerged,165,actual,0,2.92762,0.325,1.25,1.5,34,32.5,35,23.5,14.5,69.99698067,15.73782876
actual,Submerged,165,actual,0,2.92762,0.325,1.5,0.5,34,37,21,17.5,37,69.99086286,14.24582865
actual,Submerged,165,actual,0,2.92762,0.325,1.5,0.75,34,37,23.5,17.5,31,69.99086286,15.1073897
actual,Submerged,165,actual,0,2.92762,0.325,1.5,1,34,37,27,17.5,25,69.99086286,15.66078247
actual,Submerged,165,actual,0,2.92762,0.325,1.5,1.25,34,37,31,17.5,19.5,70.04208812,15.79010386
actual,Submerged,165,actual,0,2.92762,0.325,1.5,1.5,34,37,35,17.5,14.5,70.00960631,15.73149926
actual,Submerged,165,actual,0,2.92762,0,1.75,2,43,40.5,43,11.5,6,69.85461092,15.27514464
actual,Submerged,165,actual,0,2.92762,0,1.75,2,43,40.5,43,11.5,6,69.85461092,15.27514464
actual,Submerged,165,actual,20,2.92762,0,1.75,2,45,41,43,12,6,68.48896291,17.30820865
actual,Submerged,165,actual,40,2.92762,0,1.75,2,47,42,43.5,12,6,67.16330039,19.17823647
actual,Submerged,165,actual,60,2.92762,0,1.75,2,48.5,43,43.5,12.5,6,66.32623272,20.80209887
actual,Submerged,165,actual,80,2.92762,0,1.75,2,50.5,44,44,12.5,6,65.5723583,22.32704799
actual,Submerged,165,actual,100,2.92762,0,1.75,2,52,44.5,45,13,6,64.86637536,23.69155422
actual,Submerged,165,actual,0,2.92762,0,1.75,2,43,40.5,43,11.5,6,69.85461092,15.27514464
actual,Submerged,165,actual,200,2.92762,0,1.75,2,60.5,49,47,14.5,6,61.47423945,28.78388373
actual,Submerged,165,actual,400,2.92762,0,1.75,2,75,57.5,52.5,17.5,7.5,54.99739161,32.98690778
actual,Submerged,165,actual,600,2.92762,0,1.75,2,88,66,58.5,20.5,8.5,49.53323771,33.66275893
actual,Submerged,165,actual,800,2.92762,0,1.75,2,100.5,74.5,64.5,23.5,9,44.97174867,32.91798839
actual,Submerged,165,actual,1000,2.92762,0,1.75,2,112,82.5,70.5,26.5,10.5,41.10657175,31.57443286
actual,Submerged,165,actual,0,2.92762,0,1.75,2,43,40.5,43,11.5,6,69.85461092,15.27514464
